MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
248727000,2024-01-01T00:36:58,32.02417,-81.04617,0.0,170.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:34:47,32.02417,-81.04617,0.1,10.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:14:57,32.02417,-81.04617,0.0,186.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:35:48,32.02417,-81.04617,0.1,87.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:39:28,32.02417,-81.04617,0.1,308.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:17:18,32.02417,-81.04617,0.1,117.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:38:16,32.02417,-81.04617,0.0,355.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:44:07,32.02417,-81.04617,0.1,313.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:42:57,32.02417,-81.04617,0.0,287.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:46:27,32.02417,-81.04617,0.1,355.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:48:37,32.02417,-81.04617,0.1,264.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:45:18,32.02417,-81.04617,0.1,288.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:47:36,32.02417,-81.04617,0.1,145.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:53:18,32.02417,-81.04617,0.1,117.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:54:28,32.02417,-81.04617,0.1,270.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:52:08,32.02417,-81.04617,0.0,179.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:57:57,32.02417,-81.04617,0.1,317.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:56:48,32.02417,-81.04617,0.1,160.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:59:08,32.02417,-81.04617,0.1,111.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:49:48,32.02417,-81.04617,0.1,151.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:50:58,32.02417,-81.04617,0.0,265.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:04:37,32.02417,-81.04617,0.1,125.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:03:27,32.02417,-81.04617,0.1,119.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:02:26,32.02417,-81.04617,0.1,150.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:10:27,32.02417,-81.04617,0.1,179.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:11:36,32.02417,-81.04617,0.0,359.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:12:37,32.02417,-81.04617,0.1,262.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:14:57,32.02417,-81.04617,0.0,241.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:16:07,32.02417,-81.04617,0.1,143.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:18:28,32.02417,-81.04617,0.1,351.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:18:18,32.02417,-81.04617,0.0,294.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:05:57,32.02417,-81.04617,0.1,0.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:07:07,32.02417,-81.04617,0.0,333.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:22:58,32.02417,-81.04617,0.0,337.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:21:47,32.02417,-81.04617,0.0,301.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:27:38,32.02417,-81.04617,0.1,159.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:20:48,32.02417,-81.04617,0.0,103.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:25:17,32.02417,-81.04617,0.0,134.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:21:57,32.02417,-81.04617,0.1,319.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:20:37,32.02417,-81.04617,0.1,324.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:34:38,32.02417,-81.04617,0.1,176.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:32:17,32.02417,-81.04617,0.1,353.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:13:47,32.02417,-81.04617,0.1,19.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:40:28,32.02417,-81.04617,0.0,301.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
235096399,2024-01-01T01:40:32,27.78969,-97.39082,0.1,117.9,511.0,ASSINIE,IMO0000000,2GDG3,37.0,,6.0,0.0,,,B
248727000,2024-01-01T01:33:27,32.02417,-81.04617,0.1,325.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:26:28,32.02417,-81.04617,0.2,297.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:39:18,32.02417,-81.04617,0.0,261.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:35:48,32.02417,-81.04617,0.1,159.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:19:28,32.02417,-81.04617,0.1,147.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:38:07,32.02417,-81.04617,0.0,102.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
235096399,2024-01-01T01:37:31,27.78969,-97.39082,0.1,117.9,511.0,ASSINIE,IMO0000000,2GDG3,37.0,,6.0,0.0,,,B
248727000,2024-01-01T01:46:18,32.02417,-81.04617,0.1,300.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:24:06,32.02417,-81.04617,0.0,340.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:41:37,32.02417,-81.04617,0.1,121.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:47:28,32.02417,-81.04617,0.0,100.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:23:07,32.02417,-81.04617,0.0,32.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:45:07,32.02417,-81.04617,0.1,334.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:36:58,32.02417,-81.04617,0.1,30.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:52:08,32.02417,-81.04617,0.1,206.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:50:58,32.02417,-81.04617,0.0,221.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:29:57,32.02417,-81.04617,0.0,335.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:53:18,32.02417,-81.04617,0.1,145.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:42:48,32.02417,-81.04617,0.1,288.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:55:37,32.02417,-81.04617,0.1,289.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:25:27,32.02417,-81.04617,0.0,353.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:56:48,32.02417,-81.04617,0.1,27.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:02:37,32.02417,-81.04617,0.0,97.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:00:08,32.02417,-81.04617,0.0,20.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:01:18,32.02417,-81.04617,0.1,230.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:54:28,32.02417,-81.04617,0.0,62.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:07:17,32.02417,-81.04617,0.1,164.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:08:27,32.02417,-81.04617,0.0,139.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:43:57,32.02417,-81.04617,0.1,150.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:09:38,32.02417,-81.04617,0.1,328.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:10:48,32.02417,-81.04617,0.1,85.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:13:08,32.02417,-81.04617,0.1,130.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:11:56,32.02417,-81.04617,0.1,224.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:49:47,32.02417,-81.04617,0.0,179.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:15:27,32.02417,-81.04617,0.1,32.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:04:58,32.02417,-81.04617,0.1,10.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:14:17,32.02417,-81.04617,0.1,172.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:16:28,32.02417,-81.04617,0.1,174.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:17:37,32.02417,-81.04617,0.1,313.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:21:07,32.02417,-81.04617,0.1,329.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:22:08,32.02417,-81.04617,0.0,259.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:25:37,32.02417,-81.04617,0.0,55.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:24:28,32.02417,-81.04617,0.0,14.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:40:38,32.02417,-81.04617,0.0,64.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:18:48,32.02417,-81.04617,0.1,233.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:41:48,32.02417,-81.04617,0.1,76.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:28:57,32.02417,-81.04617,0.1,352.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:30:07,32.02417,-81.04617,0.1,229.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T01:57:58,32.02417,-81.04617,0.0,39.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:34:48,32.02417,-81.04617,0.0,52.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:33:38,32.02417,-81.04617,0.0,240.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:38:17,32.02417,-81.04617,0.1,42.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:40:27,32.02417,-81.04617,0.0,203.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:43:48,32.02417,-81.04617,0.2,178.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:06:08,32.02417,-81.04617,0.0,215.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:32:28,32.02417,-81.04617,0.1,312.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:42:47,32.02417,-81.04617,0.1,345.0,329.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:44:57,32.02417,-81.04617,0.1,178.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:48:38,32.02417,-81.04617,0.1,187.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:49:47,32.02417,-81.04617,0.1,77.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:46:17,32.02417,-81.04617,0.1,5.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:47:28,32.02417,-81.04617,0.0,5.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:54:27,32.02417,-81.04617,0.1,84.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:52:07,32.02417,-81.04617,0.0,245.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:55:38,32.02417,-81.04617,0.0,10.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:59:17,32.02417,-81.04617,0.1,27.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:02:27,32.02417,-81.04617,0.1,263.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:19:58,32.02417,-81.04617,0.0,323.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:00:07,32.02417,-81.04617,0.0,6.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:01:17,32.02417,-81.04617,0.0,49.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:53:17,32.02417,-81.04617,0.1,11.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:03:37,32.02417,-81.04617,0.1,357.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T02:27:48,32.02417,-81.04617,0.0,227.0,330.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:07:07,32.02417,-81.04617,0.1,280.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:10:38,32.02417,-81.04617,0.1,177.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T03:05:58,32.02417,-81.04617,0.0,224.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
